"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mb3642C",2659.61937259397,2.46549551874312,0.129165117732761,11.34590781526,7.77154812909904e-30,3.13504251527855e-27
"Mb2145C",332.770869179837,2.48267055413588,0.211876617008138,6.99780171626458,2.60009706238536e-12,2.43925384875874e-10
"Mb1783C",1066.07735725412,2.49992127639145,0.119958751545339,12.5036419358245,7.13080498590873e-36,4.79427788552597e-33
"Mb3452C",16127.7447895757,2.52351128378926,0.159368156826205,9.5596969565927,1.18102012061373e-21,2.38211758327789e-19
"Mb0997C",572.681176218373,2.54259025768524,0.275610352058394,5.59699679697956,2.18096735202637e-08,1.29382680854035e-06
"Mb3644C",7944.12829040281,2.56628693647509,0.182664843960088,8.57464908144733,9.93893675453072e-18,1.48495077288063e-15
"Mb3706C",15162.2646242787,2.58619919152502,0.253073464034111,6.26774204707302,3.66320946341832e-10,2.78818622177915e-08
"Mb0079C",792.411100754631,2.70001959323133,0.136347313942163,12.4683027782451,1.1116861252517e-35,5.6056772865817e-33
"Mb0448",74562.0108269715,2.77757244733432,0.145480234729421,12.2186525931885,2.47146977413653e-34,1.10776767431853e-31
"Mb3645C",5515.5612217981,2.90390285492844,0.195942276843633,9.71665168741407,2.56063352275351e-22,5.73866423932649e-20
"Mb2276",875.616565380782,2.96688759020691,0.150281300872375,13.0880394219988,3.85428512465047e-39,3.109637238568e-36
"Mb3643C",3692.67998275643,3.33664367182514,0.13759807511591,16.9816595897638,1.12266053731264e-64,2.2644063037596e-61
"Mb0529C",4757.05492952016,3.67915914564758,0.262144439106181,10.2201639477173,1.61068233330595e-24,4.641066094683e-22
"Mb2510C",929.974940583331,3.76370164931455,0.535873287758472,5.15737901561573,2.50430557651434e-07,1.29517547380241e-05
