"Geneid","SVG09","SVG10","SVG11","SVG12","SVG13","SVG14"
"Mb2062",278,256,288,716,660,657
"Mb1871C",768,1017,693,873,1241,489
"Mb2061",184,192,180,537,441,464
"Mb2052C",1275,845,972,936,651,778
"Mb3352C",971,909,978,1066,1219,700
"Mb2723",1948,1768,1992,1195,985,1097
"Mb0218C",496,468,437,557,445,511
"Mb1980",1153,1213,1113,644,516,496
"Mb0341",566,627,629,953,811,732
"Mb3653C",1098,1348,1339,1619,1451,1221
"Mb2923C",1194,1407,1259,1135,909,809
"Mb0620",904,842,897,947,723,772
"Mb0950C",840,911,769,697,474,567
"Mb1353C",1330,1325,1322,1259,1141,1053
"Mb1598",812,1170,877,1065,736,533
"Mb3727C",1090,1023,929,879,1081,708
"Mb1708",840,1098,859,1042,820,755
"Mb2536C",811,954,886,1292,938,1000
"Mb1841",1033,973,1061,905,610,895
"Mb0077",1330,1386,1326,808,732,601
"Mb1294",908,1293,1145,927,466,724
"Mb3608",1363,1612,1336,1063,733,725
"Mb3194",203,314,239,1065,1039,740
"Mb3916C",772,774,791,670,708,422
"Mb1087",3007,2142,2576,624,519,709
"Mb0162A",784,629,897,742,673,573
"Mb1658C",2285,2204,2449,1565,1323,1207
"Mb1968C",394,597,454,723,498,542
"Mb0472",742,626,691,930,719,815
"Mb2539",748,895,849,937,635,781
"Mb1955",635,784,767,964,860,808
"Mb1844",1052,908,1065,908,707,742
"Mb2273C",268,302,248,818,644,657
"Mb1783C",339,359,346,2071,1584,1400
"Mb3692C",936,875,989,1126,894,956
"Mb3649C",1097,1385,1154,1108,717,926
"Mb2545C",1040,936,995,740,782,653
"Mb0641C",891,1060,916,1273,790,860
"Mb3037C",364,476,420,691,261,478
"Mb2364",1771,1906,1848,1059,1089,685
"Mb3531C",582,591,619,1097,968,935
"Mb1112",750,835,898,1030,786,771
"Mb2747C",826,888,711,689,517,449
"Mb0870",810,513,649,402,266,336
"Mb2309",636,893,763,791,482,599
"Mb2986C",284,320,293,1075,572,788
"Mb3032C",679,566,653,647,659,513
"Mb1536C",274,288,313,978,591,825
"Mb0170C",609,827,646,1721,1835,1001
"Mb1632",696,703,582,586,448,413
"Mb0596",441,401,447,825,612,581
"Mb3328C",891,1015,916,1039,1162,789
"Mb2117",716,684,723,946,682,761
"Mb2327",722,669,724,817,621,634
"Mb1056C",868,1040,811,694,533,557
"Mb1837",296,334,321,990,885,679
"Mb2310",435,573,551,738,384,819
"Mb0861",1184,1246,1143,837,637,665
"Mb3228",550,564,530,707,647,522
"Mb1071C",1067,920,1048,758,705,704
"Mb0855",1389,1839,1496,1010,567,605
"Mb1878",641,717,731,1114,888,966
"Mb3699",505,552,586,1561,1172,1285
"Mb2330C",937,893,826,896,780,667
"Mb3566C",1238,1390,1270,909,699,611
"Mb1134",749,849,825,1194,896,917
"Mb1957",468,625,535,597,423,491
"Mb1612C",631,655,617,897,668,631
"Mb1829",244,231,247,267,223,147
"Mb2658C",6580,3788,6193,4925,678,4395
"Mb2852C",724,871,581,796,584,468
"Mb2879",1257,1042,1126,918,667,718
"Mb2944C",1578,1540,1398,571,547,506
"Mb3850C",547,552,561,959,577,838
"Mb0275C",573,854,650,1103,793,697
"Mb0566C",2023,1867,1861,1033,692,732
"Mb2232",1476,1322,1432,972,823,752
"Mb2931C",620,742,782,734,525,660
"Mb0803",1386,1655,1589,1074,581,920
"Mb0881C",733,798,769,1365,1019,1011
"Mb1251C",577,505,484,719,538,448
"Mb1248C",321,328,317,1169,950,732
"Mb2386C",1368,1443,1256,904,717,603
"Mb0340",465,535,457,749,591,680
"Mb3686C",908,971,843,951,1191,591
"Mb0810",1209,1230,1108,837,610,575
"Mb2920C",1043,1063,985,708,550,543
"Mb1848",1034,948,936,927,696,650
"Mb1402C",658,590,684,706,639,755
"Mb1122C",1197,1124,1169,848,653,768
"Mb0156C",808,857,805,987,1053,765
"Mb2820C",1296,1294,1132,991,805,672
"Mb1716",472,488,456,1291,1028,897
"Mb0699C",868,690,810,889,868,673
"Mb3417C",1113,1147,1019,1320,1013,1018
"Mb3782C",1953,2324,1865,966,857,754
"Mb3690C",833,1014,861,759,480,770
"Mb1291",544,729,585,570,390,660
"Mb0706",955,742,768,693,734,632
"Mb0787C",501,584,549,819,734,711
"Mb1274",819,874,874,1143,664,959
"Mb3083C",1111,1427,1228,1159,1472,980
"Mb0664C",1430,1086,1372,855,687,730
"Mb1540",994,983,1041,987,1052,835
"Mb3125A",1137,1023,1091,1080,924,847
"Mb1926",272,286,315,932,1072,631
"Mb2023",392,452,463,547,370,496
"Mb1459C",463,595,488,803,588,709
"Mb3763",779,872,808,851,787,651
"Mb0992",1150,903,871,553,482,489
"Mb2126",735,591,740,698,650,497
"Mb0835",1866,1883,1989,944,846,841
"Mb1180",626,535,622,622,574,556
"Mb2496C",950,991,1030,626,639,435
"Mb2261A",707,881,833,1021,906,846
"Mb2198",938,935,1052,1027,857,771
"Mb2968",1324,1319,1273,860,740,632
"Mb1347C",1073,985,1102,764,646,666
"Mb2797",667,832,820,744,672,699
"Mb3396C",680,694,626,903,815,593
"Mb2500",890,814,904,909,727,750
"Mb0278C",568,576,560,577,531,502
"Mb0023",1050,1234,987,795,538,555
"Mb0880",880,886,854,1159,1037,834
"Mb1320",873,1067,1086,805,597,619
"Mb2125C",682,731,654,490,367,248
"Mb3682C",1238,1500,1183,1225,909,769
"Mb2527C",635,753,605,755,673,576
"Mb0363C",415,461,489,873,635,669
"Mb1998C",674,670,694,671,586,531
"Mb1909",871,788,796,607,496,499
"Mb3605",1200,966,1093,625,572,461
"Mb1091",872,1173,937,1010,775,597
"Mb2633",733,748,831,1048,791,754
"Mb3778C",921,1091,998,1469,1283,925
"Mb2041",714,789,691,751,539,664
"Mb0096C",818,930,841,749,559,577
"Mb3596C",912,875,786,681,600,519
"Mb0798",948,1085,1108,1013,1021,787
"Mb1434C",853,893,846,690,514,490
"Mb1699C",769,943,787,742,667,573
"Mb0219C",492,572,540,567,387,515
"Mb2407A",959,803,959,1084,935,1089
"Mb3637C",976,1200,910,711,647,590
"Mb0543A",1485,1291,1433,919,808,729
"Mb2911",1008,1170,1096,683,457,729
"Mb0962C",1631,1490,1499,824,793,690
"Mb2666C",293,293,356,1208,1633,880
"Mb1257C",958,1088,904,851,825,593
"Mb2770",1553,1606,1629,790,700,627
"Mb0910",714,1269,940,1040,1037,723
"Mb0879",626,653,639,1069,1089,872
"Mb1053",965,1299,919,909,731,648
"Mb0941",1034,1130,1142,857,758,698
"Mb0621",1697,1585,1685,693,617,593
"Mb2598C",574,505,553,803,680,655
"Mb2559C",1062,1161,1201,1032,747,853
"Mb2953",692,676,741,739,453,833
"Mb3588",547,610,622,1199,1332,795
"Mb2355",4355,3355,3671,788,678,618
"Mb0998C",345,285,300,1284,1287,633
"Mb3482",907,786,828,732,433,597
"Mb3507",461,633,529,1135,1422,680
"Mb1949C",614,882,698,759,564,654
"Mb3413C",1475,1572,1372,734,624,530
"Mb0251",1063,763,1008,929,900,707
"Mb3450",2004,1153,1640,1024,594,1092
"Mb1097C",556,680,463,488,373,226
"Mb1019C",1065,975,971,993,721,631
"Mb1905",837,782,831,780,623,550
"Mb3576",560,477,455,719,628,435
"Mb1271C",392,447,501,715,490,607
"Mb0634",1042,1058,1091,788,568,599
"Mb3367",502,433,521,584,502,471
"Mb3925C",644,797,603,528,553,273
"Mb0550",624,654,608,820,576,583
"Mb2930C",614,611,628,800,500,588
"Mb1539",738,767,919,1032,1099,734
"Mb1583",1346,1470,1543,877,728,800
"Mb3422",758,715,850,1211,1348,1033
"Mb3573C",865,974,958,908,883,604
"Mb2285C",469,533,439,780,789,548
"Mb0599",1154,1185,1138,693,684,604
"Mb1173C",1017,977,1050,871,544,702
"Mb0945",988,961,899,611,489,473
"Mb1384",652,863,679,768,432,517
"Mb2067C",793,785,763,588,466,530
"Mb1828",1966,1704,1710,697,780,490
"Mb0598C",316,362,395,883,642,756
"Mb3540C",736,876,932,918,530,707
"Mb1161",795,1621,1156,107,86,69
"Mb0076",1884,1824,1794,761,805,608
"Mb2210",347,305,362,688,659,540
"Mb1962",720,855,745,720,520,542
"Mb1304C",1563,1694,1633,962,856,780
"Mb0094",507,646,627,849,450,701
"Mb0858",1450,1326,1490,1027,1075,837
"Mb2381C",1416,1415,1416,1114,962,856
"Mb2286",1077,1254,1208,792,673,515
"Mb2510C",120,141,155,1612,2486,654
"Mb2214",1476,1309,1522,629,541,470
"Mb1016C",284,293,337,584,285,447
"Mb3349C",1609,1583,1626,803,584,724
"Mb1096C",834,965,669,454,347,265
"Mb1895C",582,532,687,644,401,515
"Mb3326C",648,721,656,727,608,519
"Mb0142C",1221,981,1125,851,710,615
"Mb2130C",953,890,934,923,626,766
"Mb2185C",263,321,225,387,305,182
"Mb2675",169,144,181,353,339,265
"Mb1710A",399,419,363,478,285,394
"Mb3885",5227,1465,2653,829,628,568
"Mb2199C",1352,1296,1282,781,534,657
"Mb0141",386,373,391,1080,716,673
"Mb3403C",444,530,436,686,456,483
"Mb3585C",1768,2262,1913,687,637,537
"Mb2243C",678,691,677,905,731,728
"Mb0636",541,832,606,966,553,515
"Mb3559C",998,932,937,523,465,422
"Mb3291",935,940,934,723,509,538
"Mb1883",642,859,702,723,557,442
"Mb1603C",1889,1974,1750,838,810,625
"Mb3609",782,997,780,878,604,676
"Mb3522C",436,509,459,1194,1252,833
"Mb0923",1130,1142,1082,740,625,698
"Mb1531",606,714,598,991,800,825
"Mb0422C",687,705,732,816,530,565
"Mb3082",674,574,672,811,690,659
"Mb1624C",1349,1186,1317,926,909,599
"Mb2043C",374,329,326,651,478,577
"Mb3425",809,1251,1014,804,503,767
"Mb2461C",1034,1194,1065,783,709,734
"Mb0089",1479,1094,1368,1823,523,1717
"Mb2661",3802,2140,3264,1506,276,1473
"Mb1352C",942,923,943,1009,880,795
"Mb1810C",909,956,925,907,674,698
"Mb1378C",900,676,804,882,639,1042
"Mb2105",462,621,517,570,383,528
"Mb1942C",556,567,530,639,561,437
"Mb1937C",845,839,956,839,680,687
"Mb1430",332,328,349,475,398,298
"Mb0404C",593,805,637,735,618,481
"Mb0216",789,854,804,855,708,578
"Mb1428C",607,560,583,654,747,528
"Mb1105",1478,1423,1428,1071,1069,803
"Mb2667C",362,327,332,660,522,377
"Mb1156",738,1050,807,915,593,635
"Mb0215",1300,1388,1413,788,691,591
"Mb2258",359,479,407,490,352,339
"Mb1479C",556,606,582,997,967,660
"Mb1896C",289,398,343,512,355,415
"Mb0752C",377,368,386,693,495,573
"Mb2626",772,633,745,796,651,696
"Mb3116",313,365,328,700,888,427
"Mb0628C",1220,895,973,628,681,607
"Mb1690",757,899,752,752,1221,580
"Mb2417",1222,1252,1184,812,621,592
"Mb2777C",522,516,487,615,501,573
"Mb1692",980,1232,1018,816,1001,584
"Mb3715",592,581,553,726,652,556
"Mb1205C",938,917,918,646,668,532
"Mb0086",1127,620,738,1512,289,1246
"Mb1741",1285,1638,1219,645,506,371
"Mb0008C",529,492,561,607,506,452
"Mb1864C",748,594,672,510,522,442
"Mb1945C",558,722,567,427,342,401
"Mb1575C",561,580,552,752,674,534
"Mb0028",766,656,749,609,596,574
"Mb1074",639,677,737,820,648,719
"Mb2663",3078,2189,2674,1093,298,1022
"Mb1001C",336,245,260,879,784,307
"Mb3033",1191,930,1171,563,543,410
"Mb1813C",626,578,638,693,596,650
"Mb3307C",653,741,692,727,585,610
"Mb2690",430,610,551,677,401,468
"Mb3480C",540,592,576,757,554,456
"Mb2522",775,759,771,1009,759,783
"Mb2832",777,864,808,353,331,379
"Mb0871",543,447,470,249,155,256
"Mb2371",857,799,881,1002,906,814
"Mb3931C",717,600,735,738,499,604
"Mb3603",464,495,483,860,1077,579
"Mb2742",918,904,1061,1037,976,856
"Mb0898C",786,892,712,755,637,621
"Mb0912",635,663,728,1636,1705,1063
"Mb1401A",845,832,816,737,556,562
"Mb3625",1416,1566,1426,928,813,688
"Mb1035",423,490,500,763,507,639
"Mb3547C",943,905,959,879,819,753
"Mb2849C",987,1147,964,493,443,363
"Mb1279C",543,484,584,641,520,596
"Mb2462",1353,1760,1504,572,366,601
"Mb0806",790,753,737,519,380,425
"Mb3107C",578,570,589,692,546,396
"Mb0038C",557,663,616,733,499,486
"Mb0733",693,825,641,471,306,375
"Mb2050C",271,246,285,521,367,389
"Mb3381",1111,1193,1094,564,523,402
"Mb0825C",398,431,434,599,403,522
"Mb3602",756,800,840,866,673,646
"Mb0965C",745,791,775,685,569,483
"Mb3673",1354,1656,1427,740,621,549
"Mb1284C",344,342,345,833,532,663
"Mb2208C",736,766,777,771,570,665
"Mb2360",359,388,350,439,275,449
"Mb1183",621,488,606,799,701,513
"Mb1789C",420,578,414,730,736,353
"Mb3515C",631,548,607,736,530,489
"Mb1991",290,273,291,662,444,476
"Mb3260C",793,933,760,808,633,599
"Mb3255C",875,763,838,741,554,608
"Mb2989C",1369,1452,1351,979,887,822
"Mb3265C",533,524,491,640,770,511
"Mb0567",1093,1181,1103,736,584,481
"Mb1006C",583,703,634,680,497,607
"Mb2045C",478,395,451,491,365,376
"Mb3383C",745,724,727,677,645,512
"Mb0116",967,772,990,544,475,511
"Mb3015",608,530,616,412,368,365
"Mb1062C",224,363,215,826,894,537
"Mb1429C",587,479,509,592,597,379
"Mb2790C",625,673,597,609,470,342
"Mb0492",569,630,737,848,554,797
"Mb3565C",812,881,734,534,460,430
"Mb0403A",428,481,441,549,515,433
"Mb0366",419,482,488,801,550,682
"Mb0811",882,680,763,512,432,449
"Mb3041",1099,924,954,582,416,457
"Mb0327",875,955,926,604,438,459
"Mb1170C",696,761,736,714,567,640
"Mb0790C",192,234,209,344,229,291
"Mb3281C",1056,968,1006,807,617,644
"Mb2004C",572,477,535,625,431,484
"Mb1665C",218,224,227,990,867,621
"Mb0033",364,384,337,961,1547,578
"Mb2754C",1158,933,1034,502,359,422
"Mb3826",1847,1184,1525,964,978,608
"Mb1013",846,669,787,641,499,615
"Mb0357",560,616,635,782,612,632
"Mb3563C",367,417,373,611,700,448
"Mb2717",368,329,374,719,591,706
"Mb3122",4046,2082,3412,1619,1371,1228
"Mb1356",983,813,965,867,863,753
"Mb2325C",548,481,508,568,491,448
"Mb2670",514,505,575,971,734,729
"Mb0829C",807,716,796,756,600,659
"Mb3399C",421,482,423,595,490,352
"Mb1959C",745,737,783,714,561,692
"Mb1186A",573,535,642,979,922,719
"Mb3567",917,721,871,680,545,570
"Mb3511C",781,743,774,845,514,754
"Mb3130C",613,701,589,693,445,377
"Mb1081",1318,1384,1372,669,406,642
"Mb1319",1810,1682,1568,675,418,586
"Mb2047C",795,597,728,622,766,540
"Mb0092",406,391,366,537,224,524
"Mb0021C",618,657,626,807,597,733
"Mb0997C",228,159,158,1085,1124,511
"Mb0036",300,299,294,950,1431,681
"Mb2396",928,1013,1024,911,899,794
"Mb3244",702,675,710,748,513,635
"Mb3423",1337,1468,1224,1124,1076,834
"Mb2556",329,336,290,834,608,719
"Mb3791C",637,841,741,559,387,494
"Mb3315C",841,810,830,666,662,546
"Mb3861",394,475,435,792,665,601
"Mb2319",640,705,672,667,597,571
"Mb1818",508,417,457,431,268,364
"Mb2916C",954,1089,1064,693,563,506
"Mb0815C",431,412,464,452,378,396
"Mb3530C",389,481,490,704,671,480
"Mb2156",576,589,588,866,652,679
"Mb1564",795,965,709,527,407,313
"Mb3325",766,922,810,615,588,371
"Mb1758C",569,886,751,520,382,583
"Mb2665C",271,392,365,901,1286,555
"Mb3587C",2442,3107,2775,938,719,756
"Mb2649",497,594,499,849,608,630
"Mb3656",407,483,410,854,720,705
"Mb1300C",249,254,258,489,424,394
"Mb3502C",677,800,748,655,618,559
"Mb0369",1393,1152,1278,677,532,578
"Mb3551",878,792,864,704,636,578
"Mb0109",126,172,152,183,173,126
"Mb0531",309,375,350,758,554,606
"Mb3552",611,530,561,492,541,405
"Mb2517C",392,506,357,631,436,229
"Mb1910",700,675,645,620,505,457
"Mb0380C",201,313,225,471,517,286
"Mb3266C",572,595,551,612,725,523
"Mb0575C",621,642,613,791,689,569
"Mb2987",668,531,628,490,414,471
"Mb3881",350,530,484,599,456,523
"Mb1177",657,710,746,795,733,584
"Mb0961",893,883,879,786,595,630
"Mb3096",705,824,769,581,468,580
"Mb0902C",874,1138,956,833,860,710
"Mb0986",588,606,527,394,350,331
"Mb2416",879,768,896,667,541,579
"Mb0788C",365,365,361,538,431,379
"Mb0425",578,647,608,719,602,587
"Mb0286C",343,555,348,643,643,278
"Mb2558",174,229,204,757,411,539
"Mb0640",1112,832,960,633,576,470
"Mb0281C",383,421,359,507,386,346
"Mb2366C",569,564,544,693,718,490
"Mb2446",243,272,309,715,630,527
"Mb1995C",333,363,380,605,390,444
"Mb2555",234,224,251,729,501,650
"Mb0242C",1262,1156,1224,1020,775,968
